COMMAND     PID         USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
Grammarly  1162 trevorrosato   10u  IPv4 0xdd9fea1cda28d2bb      0t0  TCP 192.168.1.224:57708->98.88.44.222:443 (ESTABLISHED)
Grammarly  1162 trevorrosato   21u  IPv4 0x269f60837a3dd3a4      0t0  TCP 192.168.1.224:57467->98.88.44.222:443 (ESTABLISHED)
Grammarly  1162 trevorrosato   22u  IPv6 0xa4b58bc4a71611ba      0t0  TCP [2600:4040:a7ea:ca00:2027:e22e:6320:edb]:57845->[2600:9000:20e9:ba00:a:9329:2fc0:93a1]:443 (ESTABLISHED)
Grammarly  1162 trevorrosato   23u  IPv4 0x2cd0188d16c218a9      0t0  TCP 192.168.1.224:57718->54.208.206.193:443 (ESTABLISHED)
com.apple  1182 trevorrosato   15u  IPv4 0x6a8f40074be139d3      0t0  TCP 192.168.1.224:57473->108.139.29.75:443 (ESTABLISHED)
NordVPN    1879 trevorrosato    3u  IPv4 0x611ceac63c81ec85      0t0  TCP 192.168.1.224:55999->54.83.173.71:8884 (ESTABLISHED)
zed       10244 trevorrosato   20u  IPv4 0x3b830d085b74fb3c      0t0  TCP 127.0.0.1:44438 (LISTEN)
zed       10244 trevorrosato  197u  IPv6 0xeed9f138ecf52901      0t0  TCP [2600:4040:a7ea:ca00:2027:e22e:6320:edb]:52382->[2606:4700:10::ac42:a584]:443 (ESTABLISHED)
Arc       11610 trevorrosato  117u  IPv6 0x7ea9c6ec3c5258f9      0t0  TCP [2600:4040:a7ea:ca00:2027:e22e:6320:edb]:52585->[2607:f8b0:4006:80c::200a]:443 (ESTABLISHED)
Arc       11610 trevorrosato  295u  IPv4 0xf88f546c1e38b14e      0t0  TCP 192.168.1.224:57710->13.248.151.210:443 (ESTABLISHED)
Browser   11624 trevorrosato   22u  IPv6 0x8eea9079dbce08ef      0t0  TCP [2600:4040:a7ea:ca00:2027:e22e:6320:edb]:56010->[2607:f8b0:4004:c07::bc]:5228 (ESTABLISHED)
Browser   11624 trevorrosato   24u  IPv4 0x69e31818385e4b63      0t0  TCP 192.168.1.224:57677->140.82.113.25:443 (ESTABLISHED)
Browser   11624 trevorrosato   34u  IPv4 0xe5a6f75fda3a0c79      0t0  UDP *:5353
Browser   11624 trevorrosato   35u  IPv6 0x7931c921957c915d      0t0  UDP *:5353
Browser   11624 trevorrosato   36u  IPv6 0x37841f84e683f96e      0t0  UDP *:5353
Browser   11624 trevorrosato   37u  IPv6 0x71c9c86d01ccad3d      0t0  UDP *:5353
Browser   11624 trevorrosato   38u  IPv6 0xd460d2d4ec0db547      0t0  UDP *:5353
Browser   11624 trevorrosato   39u  IPv6 0xae3800bfc7123637      0t0  UDP *:5353
Browser   11624 trevorrosato   40u  IPv6 0xb1b4e128d2e6e368      0t0  UDP *:5353
Browser   11624 trevorrosato   41u  IPv6 0x5fcffb0d20811c80      0t0  UDP *:5353
Browser   11624 trevorrosato   42u  IPv6 0x3429bbadd06b11ce      0t0  UDP *:5353
Browser   11624 trevorrosato   43u  IPv6 0x1f05968142bb1005      0t0  UDP *:5353
Browser   11624 trevorrosato   44u  IPv6 0x55ae8578762bffc5      0t0  UDP *:5353
Browser   11624 trevorrosato   45u  IPv4 0x91a77d5357fb2b61      0t0  UDP *:5353
bun       28447 trevorrosato   12u  IPv6 0xfd72c32e9c91036b      0t0  TCP [2600:4040:a7ea:ca00:2027:e22e:6320:edb]:57743->[2606:4700:20::681a:86c]:443 (ESTABLISHED)
bun       28447 trevorrosato   15u  IPv4 0x406bc6ec688cf8de      0t0  TCP 192.168.1.224:57863->140.82.114.21:443 (ESTABLISHED)
bun       28447 trevorrosato   17u  IPv4 0x2f43fb511c55fdbe      0t0  TCP 192.168.1.224:57864->140.82.114.21:443 (ESTABLISHED)
bun       28447 trevorrosato   18u  IPv4 0xcfeeef369f009b55      0t0  TCP 192.168.1.224:57865->140.82.114.21:443 (ESTABLISHED)
bun       28447 trevorrosato   19u  IPv4 0x8c940c0d4b014264      0t0  TCP 192.168.1.224:57757->64.239.123.193:443 (ESTABLISHED)
bun       28447 trevorrosato   23u  IPv4 0xb550d0e66b1b572e      0t0  TCP 192.168.1.224:57783->3.132.68.45:443 (ESTABLISHED)
bun       28447 trevorrosato   27u  IPv4 0x15c550a8088ee1c4      0t0  TCP 192.168.1.224:57763->3.132.68.45:443 (ESTABLISHED)
node      28603 trevorrosato   18u  IPv6 0xbb802f896eaba16e      0t0  TCP [2600:4040:a7ea:ca00:2027:e22e:6320:edb]:57776->[2606:4700::6810:922]:443 (ESTABLISHED)
